"Authors","Author full names","Author(s) ID","Titles","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Cited by","Link","Abstract","Indexed Keywords","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Do X.H.; Ha V.H.; Tran V.L.; Renault E.","Do, Xuan Huyen (57192687951); Ha, Viet Hai (38361326900); Tran, Van Long (57031385700); Renault, Eric (57220023272)","57192687951; 38361326900; 57031385700; 57220023272","New execution model for CAPE using multiple threads on multicore clusters","2021","ETRI Journal","43","5","","825","834","9","10.4218/etrij.2020-0201","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106969760&doi=10.4218%2fetrij.2020-0201&partnerID=40&md5=b13e40edfec5a7755a4f138741c77816","Based on its simplicity and user-friendly characteristics, OpenMP has become the standard model for programming on shared-memory architectures. Checkpointing-aided parallel execution (CAPE) is an approach that utilizes the discontinuous incremental checkpointing technique (DICKPT) to translate and execute OpenMP programs on distributed-memory architectures automatically. Currently, CAPE implements the OpenMP execution model by utilizing the DICKPT to distribute parallel jobs and their data to slave machines, and then collects the results after executing these distributed jobs. Although this model has been proven to be effective in terms of performance and compatibility with OpenMP on distributed-memory systems, it cannot fully exploit the capabilities of multicore processors. This paper presents a novel execution model for CAPE that utilizes two levels of parallelism. In the proposed model, we add another level of parallelism in the form of multithreaded processes on slave machines with the goal of better exploiting their multicore CPUs. Initial experimental results presented near the end of this paper demonstrate that this model provides significantly enhanced CAPE performance. 1225-6463/$ © 2021 ETRI","Application programming interfaces (API); Multicore programming; Program processors; Distributed memory architecture; Distributed memory systems; Incremental checkpointing; Multi-core cluster; Multi-core processor; Parallel executions; Shared memory architecture; The standard model; Memory architecture","checkpointing-aided parallel execution; high-performance computing; OpenMP; parallel computing","Article","Final","","Scopus","2-s2.0-85106969760"
"Sassu A.; Saenz-Cogollo J.F.; Agelli M.","Sassu, Alessandro (57224465000); Saenz-Cogollo, Jose Francisco (57039007100); Agelli, Maurizio (57213487451)","57224465000; 57039007100; 57213487451","Deep-framework: A distributed, scalable, and edge-oriented framework for real-time analysis of video streams","2021","Sensors","21","12","4045","","","","10.3390/s21124045","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107648858&doi=10.3390%2fs21124045&partnerID=40&md5=86f8a9e8051f3b988e2899468b8df573","Edge computing is the best approach for meeting the exponential demand and the real-time requirements of many video analytics applications. Since most of the recent advances regarding the extraction of information from images and video rely on computation heavy deep learning algorithms, there is a growing need for solutions that allow the deployment and use of new models on scalable and flexible edge architectures. In this work, we present Deep-Framework, a novel open source framework for developing edge-oriented real-time video analytics applications based on deep learning. Deep-Framework has a scalable multi-stream architecture based on Docker and abstracts away from the user the complexity of cluster configuration, orchestration of services, and GPU resources allocation. It provides Python interfaces for integrating deep learning models developed with the most popular frameworks and also provides high-level APIs based on standard HTTP and WebRTC interfaces for consuming the extracted video data on clients running on browsers or any other web-based platform. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Algorithms; Humans; Software; Application programming interfaces (API); Cluster computing; Edge detection; HTTP; Learning algorithms; Learning systems; Video streaming; Cluster configurations; Extraction of information; Multi-stream architecture; Open source frameworks; Real time analysis; Real time requirement; Resources allocation; Web based platform; algorithm; human; software; Deep learning","Deep learning; Distributed systems; Edge computing; Real-time video analytics; Software framework","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85107648858"
"Porhemmat M.H.; Hadad K.; Salehi A.A.; Moghadam A.","Porhemmat, M.H. (56401197800); Hadad, K. (6506559663); Salehi, A.A. (55262725800); Moghadam, A. (48161254300)","56401197800; 6506559663; 55262725800; 48161254300","Developing 3D neutron transport kernel for heterogeneous structures in an improved method of characteristic (MOC) framework","2020","Progress in Nuclear Energy","127","","103442","","","","10.1016/j.pnucene.2020.103442","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088127997&doi=10.1016%2fj.pnucene.2020.103442&partnerID=40&md5=dd529c2f8dcbaf659d9035058a811715","Given the importance and complexity of the three-dimensional (3D) neutron transport equation solution, in the current research, a new Modular Ray Tracing (MRT) Algorithm and 3D characteristic kernel for heterogeneous structures are presented. Improvement of memory management and cache coherency are achieved to some acceptable level. Also, parallel implementation of transport algorithm utilizing OpenMP, cause significant reduction in runtime. To validate our Algorithm, first, a self-constituted pin cell and a lattice arrangement are modeled and results are compared with Monte-Carlo simulation. Second, the well-known 3D benchmark, Takeda model one and two, are investigated and results compared with the well-known MPACT code. Also, as a reliable trial, the obtained multiplication factors from the forward and adjoint form of MOC kernel are investigated. Meanwhile, for the multiplication factor, we achieved 3.5800E-04 and 3.3924E-04 [Formula presented] the difference with Takeda reference models one and two respectively. Also, the maximum speedup that our parallel algorithm gained for the Takeda benchmark is 5.13. © 2020 Elsevier Ltd","Application programming interfaces (API); Neutron flux; Transport properties; Heterogeneous structures; Lattice arrangements; Method of characteristics; Multiplication factor; Neutron transport equation; Parallel implementations; Threedimensional (3-d); Transport algorithms; Monte Carlo methods","3D MOC kernel; Modular Ray Tracing; Parallel neutron transport; Takeda benchmark","Article","Final","","Scopus","2-s2.0-85088127997"
"Pal T.; Das Bit S.","Pal, Tamal (57189244058); Das Bit, Sipra (57211659316)","57189244058; 57211659316","An energy-saving video compression targeting face recognition of disaster victim","2021","Multimedia Systems","27","6","","1037","1057","20","10.1007/s00530-021-00761-1","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102173601&doi=10.1007%2fs00530-021-00761-1&partnerID=40&md5=7ffa333127ab7f233971a1ff5649804d","In this paper, we propose an energy-saving video compression scheme targeting to work over an IoT network where the perception layer is implemented through smartphone-based delay-tolerant network (DTN). Here, the inter-frame compression is done by a proposed progression-based frame prediction technique and a newly introduced frame-similarity measurement parameter. The inter-frame co-relation is removed by using progression method followed by identifying similarity of the frames selected by the progression method. On the other hand, the intra-frame compression is done by adopting an existing compression technique with suitable modification to make it more energy saving over its existing counterpart. Once the compressed video is transmitted over the IoT network, at the server side it is reconstructed where we use the service of a popular online face recognition API, KAIROS considering an application of disaster victim recognition. The comparative performance of the scheme is evaluated both theoretically and through ONE simulator-based simulation. Precisely, we claim that our scheme saves on average 71.46% energy over its competitors with least memory usage and acceptable reconstruction quality. Finally, the entire scheme is evaluated through testbed implementation and shown that it can recognize faces successfully from the videos transmitted over DTN-based IoT with accuracy more than 0.96 while keeping compression ratio at more than 31. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH, DE part of Springer Nature.","Application programming interfaces (API); Delay tolerant networks; Disasters; Energy conservation; Image compression; Internet of things; Smartphones; Comparative performance; Compressed video; Compression scheme; Compression techniques; Memory usage; Prediction techniques; Reconstruction quality; Similarity measurements; Face recognition","Delay-tolerant network; Face recognition; Internet of things; ONE simulator; Video compression","Article","Final","","Scopus","2-s2.0-85102173601"
"Diab S.; Gerogiorgis D.I.","Diab, Samir (57189381174); Gerogiorgis, Dimitrios I. (8678885800)","57189381174; 8678885800","No More Than Three: Technoeconomic Mixed Integer Nonlinear Programming Optimization of Mixed Suspension, Mixed Product Removal Crystallizer Cascades for Melitracen, an Antidepressant API","2020","Industrial and Engineering Chemistry Research","59","49","","21458","21475","17","10.1021/acs.iecr.0c03535","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097819611&doi=10.1021%2facs.iecr.0c03535&partnerID=40&md5=7b74ad6d1fbd1f0adb9d7a744ead9f70","Mixed Suspension, Mixed Product Removal (MSMPR) crystallizers have been considered in numerous cases as a continuous mode of operation in the production of Active Pharmaceutical Ingredients (APIs). The steady-state continuous MSMPR crystallization of melitracen via cooling has been recently demonstrated in the literature, with crystallization kinetic parameters regressed from experimental data. Mixed Integer Nonlinear Programming (MINLP) has been implemented extensively for the optimization of separation process designs in various manufacturing sectors, but not for systematic design and screening of MSMPR cascade flowsheet configurations. This study performs MINLP optimization to maximize the Net Present Value (NPV) of a MSMPR cascade for continuous melitracen crystallization with solid recycling. Process flowsheets consider varying numbers of crystallizers and recycle stream feed point location. First, the MSMPR model describing API solubility, crystallization kinetics, population balance equations, and process mass balances is described. The MINLP problem and constraints are then described with detailed costing equations. The optimal flowsheet configuration for both considered plant capacities (103 and 104 kg API yr-1) is three crystallizers with recycling fed to the first and last vessels. This study illustrates rapid screening of continuous crystallization cascades via MINLP optimization, toward fully Continuous Pharmaceutical Manufacturing (CPM) plant designs. © 2020 American Chemical Society. All rights reserved.","Application programming interfaces (API); Crystallization kinetics; Crystallizers; Flowcharting; Nonlinear programming; Recycling; Active pharmaceutical ingredients; Continuous crystallization; Continuous pharmaceutical manufacturing; Manufacturing sector; Mixed-integer nonlinear programming; Optimization of separation; Population balance equation; The net present value (NPV); Integer programming","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85097819611"
"Huynh Q.-K.; Nguyen C.-N.; Vo-Nguyen H.-P.; Tran-Nguyen P.L.; Le P.-H.; Le D.-K.-L.; Nguyen V.-C.","Huynh, Quoc-Khanh (57221613628); Nguyen, Chi-Ngon (23390673700); Vo-Nguyen, Hong-Phuc (57221604237); Tran-Nguyen, Phuong Lan (55347248200); Le, Phan-Hung (57222036652); Le, Dang-Khanh-Linh (57221605085); Nguyen, Van-Cuong (57217422027)","57221613628; 23390673700; 57221604237; 55347248200; 57222036652; 57221605085; 57217422027","Crack Identification on the Fresh Chilli (Capsicum) Fruit Destemmed System","2021","Journal of Sensors","2021","","8838247","","","","10.1155/2021/8838247","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101088153&doi=10.1155%2f2021%2f8838247&partnerID=40&md5=dafc3a6840ef528335f3566a02870ce5","Destemming fresh chilli fruit (Capsicum) in large productivity is necessary, especially in the Mekong Delta region. Several studies have been done to solve this problem with high applicability, but a certain percentage of the output consisted of cracked fruits, thus reducing the quality of the system. The manual sorting results in high costs and low quality, so it is necessary that automatic grading is performed after destemming. This research focused on developing a method to identify and classify cracked chilli fruits caused by the destemming process. The convolution neural network (CNN) model was built and trained to identify cracks; then, appropriate control signals were sent to the actuator for classification. Image processing operations are supported by the OpenCV library, while the TensorFlow data structure is used as a database and the Keras application programming interface supports the construction and training of neural network models. Experiments were carried out in both the static and working conditions, which, respectively, achieved an accurate identification rate of 97 and 95.3%. In addition, a success rate of 93% was found even when the chilli body is wrinkled due to drying after storage time at 120 hours. Practical results demonstrate that the reliability of the model was useful and acceptable.  © 2021 Quoc-Khanh Huynh et al.","Application programming interfaces (API); Computer systems programming; Digital storage; Fruits; Grading; Image processing; Automatic grading; Control signal; Convolution neural network; Crack identification; Identification rates; Low qualities; Manual sorting; Neural network model; Neural networks","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101088153"
"Ma H.; Tian J.; Gao D.; Jia C.","Ma, Haoyu (55844026000); Tian, Jianwen (57220182166); Gao, Debin (8243924800); Jia, Chunfu (57226713349)","55844026000; 57220182166; 8243924800; 57226713349","On the Effectiveness of Using Graphics Interrupt as a Side Channel for User Behavior Snooping","2022","IEEE Transactions on Dependable and Secure Computing","19","5","","3257","3270","13","10.1109/TDSC.2021.3091159","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112465792&doi=10.1109%2fTDSC.2021.3091159&partnerID=40&md5=a8dd1cdf68ecf09a2f83b6f901a13bac","Graphics Processing Units (GPUs) are now a key component of many devices and systems, including those in the cloud and data centers, thus are also subject to side-channel attacks. Existing side-channel attacks on GPUs typically leak information from graphics libraries like OpenGL and CUDA, which require creating contentions within the GPU resource space and are being mitigated with software patches. This article evaluates potential side channels exposed at a lower-level interface between GPUs and CPUs, namely the graphics interrupts. These signals could indicate unique signatures of GPU workload, allowing a spy process to infer the behavior of other processes. We demonstrate the practicality and generality of such side-channel exploitation with a variety of assumed attack scenarios. Simulations on both Nvidia and Intel graphics adapters showed that our attack could achieve high accuracy, while in-depth studies were also presented to explore the low-level rationale behind such effectiveness. On top of that, we further propose a practical mitigation scheme which protects GPU workloads against the graphics-interrupt-based side-channel attack by piggybacking mask payloads on them to generate interfering graphics interrupt 'noises'. Experiments show that our mitigation technique effectively prohibited spy processes from inferring user behaviors via analyzing runtime patterns of graphics interrupt with only trivial overhead.  © 2004-2012 IEEE.","Application programming interfaces (API); Behavioral research; Computer graphics; Computer graphics equipment; Graphics processing unit; Program processors; Attack scenarios; Devices and systems; In-depth study; Mitigation schemes; Mitigation techniques; Resource space; Software patches; User behaviors; Side channel attack","GPU; graphics interrupts; machine learning; Side-channel attacks","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112465792"
"Jeon W.; Lee J.; Kang D.; Kal H.; Ro W.W.","Jeon, Won (57191332883); Lee, Jiwon (57821936000); Kang, Dongseok (57680006500); Kal, Hongju (57226179983); Ro, Won Woo (13003103600)","57191332883; 57821936000; 57680006500; 57226179983; 13003103600","PIMCaffe: Functional Evaluation of a Machine Learning Framework for In-Memory Neural Processing Unit","2021","IEEE Access","9","","9469808","96629","96640","11","10.1109/ACCESS.2021.3094043","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110813956&doi=10.1109%2fACCESS.2021.3094043&partnerID=40&md5=9aad4ba80f027cb3edb2bd87fb9de7d5","The large amount of memory usage in recent machine learning applications imposes a significant system burden with respect to power and processing speed. To cope with such a problem, Processing-In-Memory (PIM) techniques can be applied as an alternative solution. Especially, the recommendation system, which is one of the major machine learning applications used in data centers, requires a large memory capacity and therefore represents a suitable candidate application that could be helped by the PIM technique. In this paper, we introduce a machine learning framework, PIMCaffe, designed for in-memory neural processing units and its evaluation environment. PIMCaffe consists of two components: A Caffe2-based deep learning framework that supports PIM acceleration and a PIM-emulating hardware platform. We develop a suite of functions, libraries, application programming interfaces, and a device driver to support the framework. In addition, we implement a prototype Neural Processing Unit (NPU) in PIMCaffe to evaluate the performance of our platform with machine learning applications. Our prototype NPU design includes a vector processor for parallel vector processing and a systolic array unit for matrix multiplication. Using the proposed software framework, we perform a detailed analysis of the in-memory neural processing unit. PIMCaffe supports evaluations of recommendation systems and various convolutional neural network models on the in-memory neural processing unit. PIMCaffe with the NPU shows up to $2.26\times $ , $5.99\times $ , and $1.71\times $ speedup, compared to the ARM Cortex-A53 CPU, for the recommendation system, AlexNet, and ResNet-50, respectively.  © 2013 IEEE.","Application programming interfaces (API); Array processing; Computer programming; Convolutional neural networks; Deep learning; Image coding; Recommender systems; Systolic arrays; Turing machines; Alternative solutions; Functional evaluation; Learning frameworks; Machine learning applications; MAtrix multiplication; Processing in memory; Software frameworks; Vector processors; Learning systems","Deep learning framework; FPGA prototyping; functionality; neural processing unit; processing-in-memory; recommendation system; system verification","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85110813956"
"Liu Y.; Xie Y.; Yang W.; Zuo X.; Ge Q.; Zhou B.","Liu, Yang (57196311188); Xie, Yi (57215085460); Yang, Wei (57198593282); Zuo, Xianyu (16069928600); Ge, Qiang (56957737300); Zhou, Bing (55723451800)","57196311188; 57215085460; 57198593282; 16069928600; 56957737300; 55723451800","Target Classification and Recognition for High-Resolution Remote Sensing Images: Using the Parallel Cross-Model Neural Cognitive Computing Algorithm","2020","IEEE Geoscience and Remote Sensing Magazine","8","3","9007463","50","62","12","10.1109/MGRS.2019.2949353","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079847812&doi=10.1109%2fMGRS.2019.2949353&partnerID=40&md5=5d28da495b8387b4b18cf6cedf65837e","Target classification and recognition (TCR) are important information-extraction techniques for high-resolution remote sensing images (HRIs). However, because methods with high accuracy usually have higher time complexity, the massive remote sensing image has brought great difficulties for realtime application. In this article, we propose a hybrid, heterogeneous parallel processing algorithm to improve the efficiency TCR based on the Crossmodel Neural Cognitive Computing (CNCC) algorithm [parallel TCR based on MapReduce of hierarchical CNCC (PTCR-C)]. Parallel programming technologies used in this article include Open Multiprocessing (OpenMP), Compute Unified Device Architecture (CUDA), and the message passing interface (MPI). Experiments on public remote sensing image data sets show that the PTCR-C algorithm can effectively improve the efficiency of the original TCR algorithm. The PTCR-C algorithm has better augmented ability and provides the reference for further real-time TCR of remote sensing applications.  © 2013 IEEE.","Application programming interfaces (API); Classification (of information); Efficiency; Image classification; Image enhancement; Message passing; Parallel programming; Compute Unified Device Architecture(CUDA); High resolution remote sensing images; Information extraction techniques; Message passing interface; Programming technology; Real-time application; Remote sensing applications; Remote sensing images; algorithm; cognition; computer simulation; image classification; recognition; remote sensing; satellite imagery; Remote sensing","","Article","Final","","Scopus","2-s2.0-85079847812"
"Miyasaka T.; Hei Y.; Kitahara T.","Miyasaka, Takuya (57201914449); Hei, Yuichiro (6701704395); Kitahara, Takeshi (35781842600)","57201914449; 6701704395; 35781842600","NetworkAPI: An in-band signalling application-aware traffic engineering using srv6 and IP anycast","2021","IEICE Transactions on Information and Systems","E104.D","5","","617","627","10","10.1587/transinf.2020NTP0005","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106702928&doi=10.1587%2ftransinf.2020NTP0005&partnerID=40&md5=958bdf94121ef68b585b10a45b2ca2aa","SUMMARY Application-aware Traffic Engineering (TE) plays a crucial role in ensuring quality of services (QoS) for recently emerging applications such as AR, VR, cloud gaming, and connected vehicles. While a deterministic application-aware TE is required for these mission-critical applications, a negotiation procedure between applications and network operators needs to undergo major simplification to fulfill the scalability of the application based on emerging microservices and container-based architecture. In this paper, we propose a NetworkAPI framework which allows an application to indicate a desired TE behavior inside IP packets by leveraging Segment Routing over IPv6 (SRv6). In the NetworkAPI framework, the TE behavior provided by the network operator is expressed as an SRv6 Segment Identifier (SID) in the form of a 128-bit IPv6 address. Because the IPv6 address of an SRv6 SID is distributed using IP anycast, the application can utilize the unchanged SRv6 SID regardless of the application’s location, as if the application controls an API on the transport network. We implement a prototype of the NetworkAPI framework on a Linux kernel. On the prototype implementation, a basic packet forwarding performance is evaluated to demonstrate the feasibility of our framework. Copyright © 2021 The Institute of Electronics, Information and Communication Engineers","Application programming interfaces (API); Computer operating systems; Application-control; Emerging applications; Mission critical applications; Network operator; Packet forwarding; Prototype implementations; Traffic Engineering; Transport networks; Internet protocols","Application-aware traffic engineering; IP anycast; SRv6","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85106702928"
"Mishra A.; Ray A.K.","Mishra, Ayaskanta (57205631747); Ray, Arun Kumar (57195065469)","57205631747; 57195065469","IoT cloud-based cyber-physical system for efficient solid waste management in smart cities: A novel cost function based route optimisation technique for waste collection vehicles using dustbin sensors and real-time road traffic informatics","2020","IET Cyber-Physical Systems: Theory and Applications","5","4","","330","341","11","10.1049/iet-cps.2019.0110","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097351828&doi=10.1049%2fiet-cps.2019.0110&partnerID=40&md5=61147f5936bb9e283ce4c2f217d8a8fc","IoT cloud-based connected smart dustbins (equipped with sensors) are imperative for efficient waste management in smart city. Municipal agencies can reduce the use of both man and machine by cutting down their overall waste collection route distance as well as number of waste collection vehicles (WCVs) by deploying this proposed cyber-physical system for route optimization of WCVs with capacitated vehicle-routing model. A novel cost function is mathematically modelled using data from dustbin-sensors and real-time road-traffic with modified Dijkstra's algorithm for optimisation of WCVs routes. Amount of solid waste in the dustbin (GC in %), rate of the filling (ΔG) and real-time/dynamic road traffic information from Google distance matrix advanced application programming interface (API) are used for estimation of the optimised route for WCVs. Optimisation goal of this work is to reduce both capital expense (CapEx) and operational expense (OpEx) of solid waste collection in the city by cutting the WCV fleet size and reducing overall distance covered by WCVs. The proposed route optimisation technique is analytically simulated for Bhubaneswar smart city and the result shows 30.28% saving in overall WCVs route distance and hence reducing OpEx around 29.07% and CapEx around 26.83% by reducing WCV fleet size. © 2020 Institution of Engineering and Technology. All rights reserved.","Application programming interfaces (API); Bins; Cost functions; Cyber Physical System; Embedded systems; Highway administration; Informatics; Internet of things; Roads and streets; Smart city; Solid wastes; Street traffic control; Vehicle routing; Vehicles; Waste management; Advanced applications; Capacitated vehicles; Modified dijkstra's algorithms; Operational expense; Road traffic informations; Route optimisation; Route optimization; Solid waste collection; Advanced traveler information systems","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85097351828"
"Nakanishi J.; Itadera S.; Aoyama T.; Hasegawa Y.","Nakanishi, Jun (7005280340); Itadera, Shunki (57050273900); Aoyama, Tadayoshi (24722658700); Hasegawa, Yasuhisa (7403042933)","7005280340; 57050273900; 24722658700; 7403042933","Towards the development of an intuitive teleoperation system for human support robot using a VR device","2020","Advanced Robotics","34","19","","1239","1253","14","10.1080/01691864.2020.1813623","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091115294&doi=10.1080%2f01691864.2020.1813623&partnerID=40&md5=8098080f29e680338cb36c48d2a5d96e","This paper presents our development of an intuitive teleoperation system for Toyota's Human Support Robot. While this robot has been widely used as an autonomous agent in the field of service robotics, we explore a possibility of this robot for the use of remote assistance of daily activities in home environments. For rapid prototyping an affordable teleoperation system, we adopt a commercially available VR device as a user interface and develop a Robot Operating System (ROS)-based control framework building on the software application programming interfaces (APIs). In particular, we implement a singularity robust inverse kinematics algorithm to achieve a coordinated whole-body motion of the robot for safe and intuitive operation. We empirically evaluate the practical feasibility of the proposed teleoperation system through various test tasks. We discuss the potential and limitations of the current development for its future improvement. © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Agricultural robots; Application programming interfaces (API); Application programs; Autonomous agents; Computer systems programming; Inverse kinematics; Remote control; Robot programming; Software prototyping; User interfaces; Virtual reality; Future improvements; Human support robot; Intuitive operations; Inverse kinematics algorithms; Robot operating systems (ROS); Software applications; Teleoperation systems; Whole-body motion; Social robots","coordinated whole-body control; human support robot; mobile base manipulator; Teleoperation; VR device","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85091115294"
"Feurer M.; van Rijn J.N.; Kadra A.; Gijsbers P.; Mallik N.; Ravi S.; Müller A.; Vanschoren J.; Hutter F.","Feurer, Matthias (57100170600); van Rijn, Jan N. (56347016200); Kadra, Arlind (57219622432); Gijsbers, Pieter (57198770524); Mallik, Neeratyoy (57219621419); Ravi, Sahithya (57212090245); Müller, Andreas (57213599275); Vanschoren, Joaquin (23394289300); Hutter, Frank (55931808800)","57100170600; 56347016200; 57219622432; 57198770524; 57219621419; 57212090245; 57213599275; 23394289300; 55931808800","Openml-python: An extensible python api for openml","2021","Journal of Machine Learning Research","22","","","","","","","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107277382&partnerID=40&md5=86017e5e1ee15a85f2ccc6a32752a366","OpenML is an online platform for open science collaboration in machine learning, used to share datasets and results of machine learning experiments. In this paper, we introduce OpenML-Python, a client API for Python, which opens up the OpenML platform for a wide range of Python-based machine learning tools. It provides easy access to all datasets, tasks and experiments on OpenML from within Python. It also provides functionality to conduct machine learning experiments, upload the results to OpenML, and reproduce results which are stored on OpenML. Furthermore, it comes with a scikit-learn extension and an extension mechanism to easily integrate other machine learning libraries written in Python into the OpenML ecosystem. Source code and documentation are available at https://github.com/openml/openml-python/. © 2021 Microtome Publishing. All rights reserved.","Application programming interfaces (API); High level languages; Extension mechanisms; Online platforms; Open science; Source codes; Machine learning","Collaborative Science; Meta-Learning; Python; Reproducible Research","Article","Final","","Scopus","2-s2.0-85107277382"
"Yeom S.; Shin D.; Shin D.","Yeom, Seongkyu (57212633236); Shin, Dongil (7403352795); Shin, Dongkyoo (7403352785)","57212633236; 7403352795; 7403352785","Scenario-based cyber attack·defense education system on virtual machines integrated by web technologies for protection of multimedia contents in a network","2021","Multimedia Tools and Applications","80","26-27","","34085","34101","16","10.1007/s11042-019-08583-0","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077609593&doi=10.1007%2fs11042-019-08583-0&partnerID=40&md5=bf71230ca5d954ae1fe083b9a253234e","Security issues have been raised with the tremendous growth of social multimedia content evolving content distribution and social interaction. To protect the social multimedia contents in a network, information security education has been actively studied, and various educational systems are being provided. Even when trainees have completed the training that they can practice, such as DDoS(Distributed Denial of Services) response and database outbreak attack, most of the education methods are based on the theory or advance notification method designed as part of the scenario beforehand and it is difficult to apply these to actual situations. In addition, building new systems and learning to use them for each scenario lowers the training effectiveness. In this paper, we investigate various cases of cyber incident in the content distribution networks. Based on research, we develop Meltdown, Mirai malware, Carbanak APT(Advanced Persistent Threats), and Ransomware scenarios that assume a real multimedia contents distribution situation. We also build and store individual virtual environments for each scenario, integrating them into VMWare ESXI, so that attack and defense practices can be conducted similar to real world networks. The deployed environment is integrated with the Web through the VM API(Virtual Machine Application Programming Interfaces). When the trainee finishes the training, one utilizes the snapshot function of the virtual machine to return the virtual environment to the pre-training state. Trainees do not need to build a virtual environment for each scenario, but they are able to conduct training in an environment similar to a real network by calling a virtual environment with a simple operation from a web browser. Therefore, it is expected that the convenience of trainees and the efficiency of the education will be increased. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Application programming interfaces (API); Denial-of-service attack; E-learning; Malware; Network security; Virtual machine; Content distribution; Content distribution networks; Distributed denial of service; Education systems; Information security education; Multimedia contents; Scenario; Training effectiveness; Distributed database systems","Case of cyber incident; Education system; Malware; Scenario; Virtual machine","Article","Final","","Scopus","2-s2.0-85077609593"
"Mitelman A.; Gurevich U.","Mitelman, Amichai (57022055000); Gurevich, Ury (55662564200)","57022055000; 55662564200","Implementing bim for conventional tunnels - A proposed methodology and case study","2021","Journal of Information Technology in Construction","26","","","643","656","13","10.36680/j.itcon.2021.034","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118175616&doi=10.36680%2fj.itcon.2021.034&partnerID=40&md5=41083babd1854f9b0a962c57878d66d4","The topic of Building Information Modelling (BIM) adoption by public organizations has become a central subject of research, and a significant amount of BIM documents, guidelines, and standards have been created to meet different organizational purposes. Compared to the building industry, the application of BIM tools for tunnel project management is lagging far behind. This paper proposes a methodology for integrating BIM tools for conventional tunnelling. A fundamental distinction is made between the tunnel internal architectural domain and the external structural domain. For the former, BIM methodology can be applied similarly to the building industry. For the latter, it is suggested that a BIM model be built according to the essential information generated during tunnelling excavation. The proposed methodology was put to test for an actual tunneling project. A routine was established where the supervisor on behalf of the owner was responsible for gathering and reporting essential data in tabular form. Via REVIT's Application Programming Interface (API), a code was developed so that a BIM model was built and updated automatic to data insertion. Ultimately, the final BIM model allows managing up-to-date qualitative and quantitative information visually. Thus, human understanding and interpretation are enhanced for future uses, such as maintenance, future renovations and project post-analysis. © 2021 International Council for Research and Innovation in Building and Construction. All rights reserved.","Application programming interfaces (API); Construction industry; Information theory; Knowledge management; Project management; Tunneling (excavation); Tunnels; Building industry; Building information modeling adoption; Building Information Modelling; Case-studies; Modelling tools; NATM; Public organizations; Tunnel maintenances; Tunneling; Architectural design","BIM Adoption; Building Information Modelling; Knowledge Management; NATM; Tunnel Maintenance; Tunnelling","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85118175616"
